,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
15,Analysis/Voice/2025/04/07/992d685d-2bce-4a40-8912-1a62019cd687_analysis_2025-04-07T21:29:52Z.json,992d685d-2bce-4a40-8912-1a62019cd687,2025-04-07 21:29:52,2025-04-07,21:29:52,2025-04-07 21:34:20+00:00,2025-04-07,21:34:20,2025-04-07 20:00:00
14,Analysis/Voice/2025/04/07/d9701c2c-d49b-4b15-a9fb-378595e4b457_analysis_2025-04-07T21:29:39Z.json,d9701c2c-d49b-4b15-a9fb-378595e4b457,2025-04-07 21:29:39,2025-04-07,21:29:39,2025-04-07 21:36:31+00:00,2025-04-07,21:36:31,2025-04-07 20:00:00
13,Analysis/Voice/2025/04/07/4ade2690-85b4-4143-89b6-feaa66ba08de_analysis_2025-04-07T21:29:18Z.json,4ade2690-85b4-4143-89b6-feaa66ba08de,2025-04-07 21:29:18,2025-04-07,21:29:18,2025-04-07 21:34:06+00:00,2025-04-07,21:34:06,2025-04-07 20:00:00
12,Analysis/Voice/2025/04/07/1ff31ae0-6e11-4787-b4eb-627a88b653d4_analysis_2025-04-07T21:26:10Z.json,1ff31ae0-6e11-4787-b4eb-627a88b653d4,2025-04-07 21:26:10,2025-04-07,21:26:10,2025-04-07 21:30:49+00:00,2025-04-07,21:30:49,2025-04-07 20:00:00
11,Analysis/Voice/2025/04/07/03b4d9b3-7e81-44b1-8e8f-ceeeb5b54040_analysis_2025-04-07T21:24:42Z.json,03b4d9b3-7e81-44b1-8e8f-ceeeb5b54040,2025-04-07 21:24:42,2025-04-07,21:24:42,2025-04-07 21:30:55+00:00,2025-04-07,21:30:55,2025-04-07 20:00:00
10,Analysis/Voice/2025/04/07/8ca8ea29-cc60-4dc1-bfa2-b6e8799a6369_analysis_2025-04-07T21:24:40Z.json,8ca8ea29-cc60-4dc1-bfa2-b6e8799a6369,2025-04-07 21:24:40,2025-04-07,21:24:40,2025-04-07 21:31:14+00:00,2025-04-07,21:31:14,2025-04-07 20:00:00
9,Analysis/Voice/2025/04/07/b4477be6-686b-4446-8c36-f25598cfb7ac_analysis_2025-04-07T21:23:35Z.json,b4477be6-686b-4446-8c36-f25598cfb7ac,2025-04-07 21:23:35,2025-04-07,21:23:35,2025-04-07 21:30:07+00:00,2025-04-07,21:30:07,2025-04-07 20:00:00
8,Analysis/Voice/2025/04/07/a2bf78d8-e291-4303-aafb-4e119fcbef22_analysis_2025-04-07T21:23:03Z.json,a2bf78d8-e291-4303-aafb-4e119fcbef22,2025-04-07 21:23:03,2025-04-07,21:23:03,2025-04-07 21:28:53+00:00,2025-04-07,21:28:53,2025-04-07 20:00:00
7,Analysis/Voice/2025/04/07/4e61891f-3d05-470c-9610-69d5fac6cc06_analysis_2025-04-07T21:20:21Z.json,4e61891f-3d05-470c-9610-69d5fac6cc06,2025-04-07 21:20:21,2025-04-07,21:20:21,2025-04-07 21:26:35+00:00,2025-04-07,21:26:35,2025-04-07 20:00:00
6,Analysis/Voice/2025/04/07/4c71a5a7-2a5a-457c-8e3b-9a8a50204d5d_analysis_2025-04-07T21:18:47Z.json,4c71a5a7-2a5a-457c-8e3b-9a8a50204d5d,2025-04-07 21:18:47,2025-04-07,21:18:47,2025-04-07 21:27:23+00:00,2025-04-07,21:27:23,2025-04-07 20:00:00
5,Analysis/Voice/2025/04/07/5c0016ba-43b8-4c93-b7a6-3d8eaf4b2cb7_analysis_2025-04-07T21:15:46Z.json,5c0016ba-43b8-4c93-b7a6-3d8eaf4b2cb7,2025-04-07 21:15:46,2025-04-07,21:15:46,2025-04-07 21:20:45+00:00,2025-04-07,21:20:45,2025-04-07 20:00:00
4,Analysis/Voice/2025/04/07/686be406-63c1-4137-b525-1ff83416c479_analysis_2025-04-07T21:15:40Z.json,686be406-63c1-4137-b525-1ff83416c479,2025-04-07 21:15:40,2025-04-07,21:15:40,2025-04-07 21:20:54+00:00,2025-04-07,21:20:54,2025-04-07 20:00:00
3,Analysis/Voice/2025/04/07/be57f1d3-0833-48f1-bb2b-3b18c9cb849f_analysis_2025-04-07T21:14:21Z.json,be57f1d3-0833-48f1-bb2b-3b18c9cb849f,2025-04-07 21:14:21,2025-04-07,21:14:21,2025-04-07 21:19:32+00:00,2025-04-07,21:19:32,2025-04-07 20:00:00
2,Analysis/Voice/2025/04/07/442e5cfb-69af-489e-a437-2136173ce7ae_analysis_2025-04-07T21:12:45Z.json,442e5cfb-69af-489e-a437-2136173ce7ae,2025-04-07 21:12:45,2025-04-07,21:12:45,2025-04-07 21:16:59+00:00,2025-04-07,21:16:59,2025-04-07 20:00:00
1,Analysis/Voice/2025/04/07/ca519e8b-2dc2-4c45-bd93-f2ea614616ea_analysis_2025-04-07T21:10:13Z.json,ca519e8b-2dc2-4c45-bd93-f2ea614616ea,2025-04-07 21:10:13,2025-04-07,21:10:13,2025-04-07 21:15:52+00:00,2025-04-07,21:15:52,2025-04-07 20:00:00
22,Analysis/Voice/2025/04/07/f488d0d9-e029-49a2-af90-ce3f32811c9e_analysis_2025-04-07T21:09:51Z.json,f488d0d9-e029-49a2-af90-ce3f32811c9e,2025-04-07 21:09:51,2025-04-07,21:09:51,2025-04-07 21:15:05+00:00,2025-04-07,21:15:05,2025-04-07 20:00:00
24,Analysis/Voice/2025/04/07/e58bdd9c-aee7-46be-b3d7-eef519a95638_analysis_2025-04-07T21:09:00Z.json,e58bdd9c-aee7-46be-b3d7-eef519a95638,2025-04-07 21:09:00,2025-04-07,21:09:00,2025-04-07 21:15:32+00:00,2025-04-07,21:15:32,2025-04-07 20:00:00
47,Analysis/Voice/2025/04/07/5804e0db-18d9-4e1a-93bf-597f28527678_analysis_2025-04-07T21:08:36Z.json,5804e0db-18d9-4e1a-93bf-597f28527678,2025-04-07 21:08:36,2025-04-07,21:08:36,2025-04-07 21:15:09+00:00,2025-04-07,21:15:09,2025-04-07 20:00:00
25,Analysis/Voice/2025/04/07/f84c034f-56c5-4812-bd7e-1cef5474c701_analysis_2025-04-07T21:07:06Z.json,f84c034f-56c5-4812-bd7e-1cef5474c701,2025-04-07 21:07:06,2025-04-07,21:07:06,2025-04-07 21:13:39+00:00,2025-04-07,21:13:39,2025-04-07 20:00:00
46,Analysis/Voice/2025/04/07/6473afdb-26a4-4f92-808a-eb35621ce750_analysis_2025-04-07T21:07:00Z.json,6473afdb-26a4-4f92-808a-eb35621ce750,2025-04-07 21:07:00,2025-04-07,21:07:00,2025-04-07 21:12:38+00:00,2025-04-07,21:12:38,2025-04-07 20:00:00
45,Analysis/Voice/2025/04/07/4f0bc029-449a-438e-882e-02dde28fed72_analysis_2025-04-07T21:06:58Z.json,4f0bc029-449a-438e-882e-02dde28fed72,2025-04-07 21:06:58,2025-04-07,21:06:58,2025-04-07 21:12:20+00:00,2025-04-07,21:12:20,2025-04-07 20:00:00
44,Analysis/Voice/2025/04/07/e3a8e5e7-a9e9-41a6-99e0-4daf937341b2_analysis_2025-04-07T21:06:53Z.json,e3a8e5e7-a9e9-41a6-99e0-4daf937341b2,2025-04-07 21:06:53,2025-04-07,21:06:53,2025-04-07 21:12:37+00:00,2025-04-07,21:12:37,2025-04-07 20:00:00
43,Analysis/Voice/2025/04/07/41d0ab57-3900-4903-8f7d-e9874e8690fd_analysis_2025-04-07T21:05:48Z.json,41d0ab57-3900-4903-8f7d-e9874e8690fd,2025-04-07 21:05:48,2025-04-07,21:05:48,2025-04-07 21:10:45+00:00,2025-04-07,21:10:45,2025-04-07 20:00:00
42,Analysis/Voice/2025/04/07/f4455cae-7c2a-493c-a03a-dbcb14240bcc_analysis_2025-04-07T21:04:17Z.json,f4455cae-7c2a-493c-a03a-dbcb14240bcc,2025-04-07 21:04:17,2025-04-07,21:04:17,2025-04-07 21:08:33+00:00,2025-04-07,21:08:33,2025-04-07 20:00:00
41,Analysis/Voice/2025/04/07/fdd4cdd6-beda-46ed-8292-08ec4e630cae_analysis_2025-04-07T21:03:37Z.json,fdd4cdd6-beda-46ed-8292-08ec4e630cae,2025-04-07 21:03:37,2025-04-07,21:03:37,2025-04-07 21:09:09+00:00,2025-04-07,21:09:09,2025-04-07 20:00:00
